"index","timeReal","AccYHip","GyroYHip","AccYKnee","GyroYKnee","Occupancy"
810,26137,-1288,-284,-800,-4,1
811,26167,-1464,186,-940,-37,1
812,26195,-1552,-46,-944,43,1
813,26225,-1412,110,-956,54,1
814,26254,-1256,22,-892,92,1
815,26283,-1340,-47,-732,51,1
816,26312,-1416,23,-784,52,1
817,26341,-1464,42,-744,56,1
818,26371,-1416,53,-572,31,1
819,26399,-1452,135,-528,43,1
820,26434,-1404,118,-612,85,1
821,26464,-1300,136,-656,88,1
822,26492,-1416,87,-520,142,1
823,26522,-1528,-77,-748,197,1
824,26551,-1204,-62,-1056,141,1
825,26580,-1648,-57,-988,178,1
826,26609,-2032,-2,-1276,185,1
827,26639,-1760,87,-1388,57,1
828,26669,-1532,175,-1148,16,1
829,26697,-1656,91,-1252,54,1
830,26727,-1744,196,-920,86,1
831,26756,-1764,122,-1048,2,1
832,26785,-1572,51,-668,31,1
833,26814,-1672,10,-896,45,1
834,26844,-1652,-86,-652,67,1
835,26872,-1580,-168,-512,71,1
836,26899,-1496,-108,-852,55,1
837,26928,-1620,-101,-1140,38,1
838,26957,-1524,-159,-1076,18,1
839,26986,-1292,-93,-1244,-34,1
840,27016,-1524,-110,-1252,-44,1
841,27045,-1544,-200,-1276,-107,1
842,27074,-1516,-51,-1600,-85,1
843,27104,-1544,-54,-1796,-236,1
844,27133,-1560,29,-1744,-434,1
845,27162,-1716,-18,-1356,-464,1
846,27192,-1680,146,-1916,-408,1
847,27220,-1548,127,-1236,-662,1
848,27250,-2056,182,-40,-617,1
849,27279,-1532,-151,1216,-735,1
850,27309,-716,-488,3336,-706,1
851,27338,-600,-153,3448,-714,1
852,27371,192,17,1144,-762,1
853,27401,256,-218,852,-833,1
854,27429,652,-22,1576,-546,1
855,27459,1020,172,1896,-397,1
856,27488,992,98,2068,-413,1
857,27517,1308,-347,1652,-334,1
858,27546,1508,565,1840,-464,0
859,27576,880,349,1840,-334,0
860,27604,952,554,2052,-326,0
861,27634,860,358,2236,-390,0
862,27663,1268,471,2232,-131,0
863,27693,1156,503,2092,9,0
864,27722,676,901,2308,98,0
865,27758,956,1085,1704,235,0
866,27788,420,308,2108,206,0
867,27816,744,399,2136,203,0
868,27851,-848,1234,1852,190,0
869,27881,1160,226,1680,171,0
870,27911,996,64,1908,103,0
871,27939,556,151,1664,95,0
872,27968,728,105,2060,128,0
873,27998,744,102,2064,91,0
874,28026,988,-112,1832,126,0
875,28056,976,49,1848,115,0
876,28085,1284,-26,1956,82,0
877,28114,1296,102,2948,280,0
878,28143,1708,158,3108,487,0
879,28173,1976,306,1376,556,0
880,28203,1376,241,1356,305,0
881,28231,1284,333,2080,305,0
882,28261,1404,139,1728,273,0
883,28290,1132,174,2060,196,0
