"index","timeReal","AccYHip","GyroYHip","AccYKnee","GyroYKnee","Occupancy"
266,10273,15224,16,15320,176,1
267,10303,15428,-7,15536,233,1
268,10332,15208,-97,15648,252,1
269,10360,15392,-63,15408,255,1
270,10389,15136,55,15676,261,1
271,10418,15296,-79,15312,82,1
272,10447,15364,-63,15544,126,1
273,10476,15260,-38,15636,-17,1
274,10509,15268,-271,15608,226,1
275,10539,15556,-256,16480,342,1
276,10567,15740,110,17512,647,1
277,10596,15580,-26,15072,999,1
278,10625,15200,4,13476,2070,1
279,10653,14520,-684,11864,1559,1
280,10683,14828,-213,12184,2804,1
281,10712,15300,-495,12316,2310,1
282,10740,15524,-751,14456,2664,1
283,10770,15436,-493,14416,2869,1
284,10799,15128,915,14320,3041,1
285,10827,15708,-11,14360,2891,1
286,10856,15320,913,13364,3022,1
287,10886,15336,-287,11492,2917,1
288,10914,15124,-1516,11320,2719,1
289,10949,13884,-728,9552,2309,0
290,10978,15844,208,9316,2094,0
291,11006,15268,-1398,9672,2041,0
292,11035,14980,-1178,9500,2171,0
293,11064,15044,-1610,8752,2295,0
294,11094,15612,-1006,8948,2501,0
295,11122,15376,-1367,8132,2461,0
296,11151,14404,-636,6984,2075,0
297,11181,15616,-853,7312,1595,0
298,11209,15104,-1503,7064,1514,0
299,11238,15668,-921,6436,1279,0
300,11267,15292,-814,7460,1273,0
301,11296,15272,-1429,6776,538,0
302,11325,15524,-1040,5956,351,0
303,11354,16200,48,6384,369,0
304,11386,15888,595,4556,619,0
305,11415,14660,-651,4156,273,0
306,11445,14908,-659,5772,795,0
307,11473,15284,-478,6208,638,0
308,11503,15952,-1091,4240,592,0
309,11539,15116,-515,5252,-198,0
310,11568,14896,-224,6148,-1,0
311,11597,15332,-507,5408,575,0
312,11626,15360,-418,4776,584,0
313,11655,15404,-311,5192,219,0
314,11683,15240,-284,5616,42,0
315,11712,15072,-39,5528,457,0
316,11741,15316,-133,5228,304,0
317,11770,15264,-30,5132,7,0
318,11799,15176,-71,5300,-107,0
319,11828,15308,-154,5172,-118,0
320,11863,15132,-65,5232,-76,0
321,11891,15140,-12,5252,-112,0
322,11921,15092,2,5268,-36,0
323,11950,15012,4,5216,68,0
324,11978,15028,-17,5016,110,0
325,12007,15384,66,5248,113,0
326,12036,15204,-91,5152,121,0
327,12065,15152,-114,5196,195,0
328,12094,15248,-136,5140,263,0
329,12123,15164,-176,5196,267,0
330,12151,15332,-149,5268,188,0
331,12181,15168,-195,5376,98,0
332,12210,15284,-153,5368,81,0
333,12238,15192,-142,5252,82,0
334,12267,15212,-91,5300,80,0
335,12296,15192,-115,5340,88,0
336,12329,15132,-82,5260,65,0
337,12358,15140,-22,5192,101,0
338,12387,15216,-129,5200,139,0
339,12416,15144,-108,5184,76,0
340,12444,15300,-264,5288,-8,0
341,12474,15200,-243,5388,49,0
342,12503,15172,-255,5356,80,0
343,12531,15252,-262,5504,111,0
344,12560,15072,-303,5336,109,0
345,12590,15308,-174,5304,87,0
346,12618,15200,-73,5388,61,0
347,12647,15252,-8,5228,96,0
348,12676,15012,-63,5356,155,0
349,12704,15060,9,5292,154,0
350,12733,15464,56,5300,182,0
351,12762,15248,-6,5360,46,0
352,12796,15232,41,5388,-60,0
353,12825,15364,7,5252,-100,0
354,12854,15196,23,5348,-108,0
355,12882,15276,-33,5340,-162,0
356,12912,15104,44,5220,-115,0
357,12941,15200,7,5300,-63,0
358,12969,15220,-40,5220,-38,0
359,12998,15220,17,5324,59,0
360,13027,15164,-16,5168,118,0
361,13056,15196,-43,5256,80,0
362,13084,15160,31,5356,45,0
363,13113,15304,-26,5236,-42,0
364,13143,15076,-32,5404,-49,0
365,13171,15164,-58,5344,-18,0
366,13200,15240,47,5176,15,0
367,13229,15168,-38,5288,17,0
368,13261,15300,143,5192,-27,0
369,13290,15092,-27,5244,-11,0
370,13319,15304,-6,5372,40,0
371,13348,15176,-42,5292,63,0
372,13377,15156,-37,5316,31,0
373,13406,15192,-3,5324,28,0
374,13434,15020,-109,5372,24,0
375,13463,15288,-9,5304,-26,0
376,13492,15192,-65,5344,12,0
377,13520,15192,73,5228,-16,0
378,13549,15308,76,5344,-53,0
379,13579,15296,102,5400,-29,0
380,13607,15232,90,5292,-42,0
381,13636,15280,60,5316,-66,0
382,13665,15152,-32,5352,-100,0
383,13693,15244,31,5116,-66,0
384,13722,15232,8,5196,-18,0
385,13757,15164,-92,5088,-14,0
386,13786,15224,-74,5264,13,0
387,13814,15212,-99,5300,33,0
388,13843,15224,-47,5416,49,0
389,13872,15248,-42,5308,49,0
390,13901,15168,-57,5352,84,0
391,13930,15172,34,5296,75,0
392,13959,15172,10,5304,59,0
393,13987,15164,35,5252,69,0
394,14016,15256,-37,5212,20,0
395,14045,15236,18,5188,19,0
396,14073,15084,-72,5292,15,0
397,14102,15244,46,5316,7,0
398,14131,15168,0,5412,18,0
399,14159,15172,6,5432,-4,0
400,14188,15192,41,5424,13,0
401,14217,15280,43,5276,-16,0
402,14251,15188,50,5288,-25,0
403,14279,15248,73,5328,-36,0
404,14308,15184,30,5256,-93,0
405,14337,15224,-29,5260,-93,0
406,14365,15196,99,5344,-50,0
407,14394,15208,-62,5316,7,0
408,14423,15148,35,5404,13,0
409,14451,15232,-11,5296,36,0
410,14481,15140,24,5240,20,0
411,14510,15128,73,5280,-23,0
412,14538,15224,92,5264,-2,0
413,14567,15176,76,5156,-39,0
414,14596,15328,11,5308,-42,0
415,14624,15196,4,5208,-31,0
416,14653,15304,-24,5312,-39,0
417,14682,15200,45,5280,-3,0
418,14715,15220,60,5268,-6,0
419,14744,15144,-50,5316,-5,0
420,14774,15184,26,5280,-19,0
421,14802,15100,49,5284,-6,0
422,14831,15164,-39,5172,6,0
423,14860,15276,47,5240,-22,0
424,14888,15228,-55,5268,17,0
425,14917,15304,22,5280,0,0
426,14946,15156,60,5324,-9,0
427,14974,15220,24,5316,52,0
428,15003,15164,-36,5320,39,0
429,15032,15264,-10,5288,15,0
430,15060,15088,-23,5180,14,0
431,15089,15260,-45,5272,15,0
432,15118,15184,44,5344,12,0
433,15155,15244,13,5260,2,0
434,15184,15240,-73,5204,-12,0
435,15217,15200,123,5236,8,0
436,15246,15164,45,5284,30,0
437,15275,15188,-105,5208,55,0
438,15303,15276,-43,5300,6,0
439,15332,15204,-42,5280,-39,0
440,15362,15200,76,5308,-28,0
441,15390,15280,-30,5344,-3,0
442,15419,15236,15,5204,17,0
443,15448,15092,-4,5288,5,0
444,15476,15212,9,5308,-8,0
445,15505,15216,-14,5248,-20,0
446,15534,15180,17,5280,2,0
447,15562,15156,-62,5188,25,0
448,15591,15224,23,5268,9,0
449,15620,15168,15,5240,-3,0
450,15649,15228,66,5256,-23,0
451,15678,15256,57,5364,-13,0
452,15712,15212,37,5156,3,0
453,15740,15256,20,5276,-8,0
454,15769,15180,29,5248,-8,0
455,15799,15208,2,5336,22,0
456,15827,15176,16,5284,1,0
457,15856,15300,23,5188,24,0
458,15885,15196,14,5316,2,0
459,15913,15228,30,5216,-15,0
460,15942,15204,14,5248,16,0
461,15971,15164,32,5280,28,0
462,16001,15292,-1,5296,-17,0
463,16029,15216,3,5308,-3,0
464,16058,15140,95,5212,19,0
465,16087,15316,-132,5248,14,0
466,16115,15172,45,5188,-17,0
467,16144,15136,-65,5320,-2,0
468,16173,15280,23,5256,35,0
469,16206,15148,-32,5256,44,0
470,16235,15268,15,5156,26,0
471,16264,15220,33,5364,37,0
472,16292,15236,51,5236,1,0
473,16321,15252,41,5340,10,0
474,16350,15280,47,5248,-27,0
475,16379,15236,5,5244,-12,0
476,16408,15160,-14,5312,0,0
477,16437,15248,-12,5360,33,0
478,16465,15212,-25,5096,43,0
479,16494,15184,2,5280,34,0
480,16523,15208,9,5276,22,0
481,16551,15276,-18,5196,8,0
482,16580,15164,-3,5180,15,0
483,16609,15232,-3,5312,-10,0
484,16637,15216,45,5264,-24,0
485,16667,15220,32,5288,-25,0
486,16701,15144,17,5184,-8,0
487,16730,15260,6,5196,33,0
488,16758,15044,-333,5192,-11,0
489,16788,15444,217,5296,-49,0
490,16817,15124,-178,5312,-5,0
491,16845,15224,31,5216,18,0
492,16874,15092,-44,5248,14,0
493,16903,15228,28,5252,-17,0
494,16931,15116,-80,5236,3,0
495,16961,15284,50,5252,10,0
496,16990,15188,38,5212,41,0
497,17018,15268,-25,5264,13,0
498,17047,15264,-36,5216,26,0
499,17076,15240,-131,5168,-8,0
500,17104,15224,81,5300,45,0
501,17133,15124,47,5364,32,0
502,17167,15064,27,5268,6,0
503,17195,15200,29,5236,3,0
504,17223,15196,13,5200,-37,0
505,17253,15156,39,5260,-27,0
506,17282,15268,27,5236,-10,0
507,17310,15152,33,5148,-16,0
508,17339,15200,26,5248,-9,0
509,17368,15152,-23,5216,-9,0
510,17396,15204,3,5356,29,0
511,17425,15360,2,5300,21,0
