"index","timeReal","AccYHip","GyroYHip","AccYKnee","GyroYKnee","Occupancy"
906,29116,-1220,999,-640,516,0
907,29145,-652,873,568,583,0
908,29174,-1840,389,396,605,0
909,29203,-3184,563,884,833,0
910,29233,-2836,-212,312,1073,0
911,29261,-1436,-299,-780,1020,0
912,29291,-792,-463,-536,841,0
913,29320,-936,-487,-1712,911,0
914,29349,-1552,-861,-692,449,0
915,29379,-1912,-808,528,367,0
916,29414,-1900,-590,848,-325,0
917,29443,-736,-370,1144,-607,0
918,29472,-208,-430,1284,-964,0
919,29502,-620,-459,308,-667,0
920,29531,-2084,-1530,-1764,-617,0
921,29560,-2896,-1796,-688,-689,0
922,29590,-2008,-1979,196,-770,0
923,29619,-2204,-2201,-184,-652,0
924,29648,-2412,-1978,-896,-828,0
925,29678,-932,-1751,2088,-988,0
926,29707,1004,-3133,3148,-956,0
927,29736,684,-5155,1460,-1313,0
928,29766,-100,-4409,6776,-2104,0
929,29795,800,-7021,6020,-1749,0
930,29825,184,-8270,6796,-4650,0
931,29858,-1952,-6815,4576,-7739,0
932,29888,-3400,-2777,-11928,-8843,0
933,29918,-1376,1562,-8888,-3769,0
934,29947,3556,4126,-14620,-4880,0
935,29976,5152,5439,-9356,-5694,0
936,30006,4296,5894,-8628,-8772,0
937,30035,1612,5589,-10616,-12512,0
938,30064,1740,4965,-7920,-6820,0
939,30094,548,4715,-10312,-7424,0
940,30124,-1648,5509,-8100,-6338,0
941,30153,-2860,6870,-4408,-3717,0
942,30182,-1720,6902,-3408,-2430,0
943,30212,752,6974,-5340,-2726,0
944,30240,3028,6346,-2748,-1408,0
945,30270,3360,6031,-1912,938,0
946,30305,1512,5194,-3048,2262,0
947,30334,1456,3976,-4772,2768,0
948,30363,2332,4121,-152,3571,0
949,30393,4412,4033,1532,3166,0
950,30423,4532,4255,9528,4220,0
951,30451,5236,3676,10700,4376,0
952,30481,6084,3443,-400,5167,0
953,30510,5072,4778,28,6359,0
954,30539,1256,2077,10064,3510,0
955,30568,768,-1540,3148,3564,0
956,30598,3736,134,-5628,3627,0
957,30626,484,3755,2284,3356,0
958,30656,-6472,-1431,328,1697,0
959,30686,1752,2218,264,2877,0
960,30714,5908,-1104,244,1639,0
961,30748,-1488,-1461,2428,1897,0
962,30778,-3572,-369,968,2670,0
963,30807,-2600,630,1060,1571,0
964,30836,-808,861,1904,1377,0
965,30865,-1136,598,2024,930,0
966,30895,-840,322,2768,878,0
967,30923,-196,106,2984,994,0
968,30953,-256,-335,1432,1344,0
969,30982,-1180,-231,448,1217,0
970,31010,-2344,-138,688,1039,0
971,31040,-3092,238,1040,1000,0
972,31070,-3120,7,1164,790,0
973,31098,-2316,-323,-172,425,0
974,31128,-1972,-585,-28,222,0
975,31157,-1776,-743,-140,96,0
976,31186,-1756,-1072,748,-133,0
977,31221,-1464,-1338,1860,117,0
978,31250,-1656,-1339,3032,132,0
979,31280,-832,-1573,3044,78,0
980,31308,820,-1618,3600,-35,0
981,31338,1228,-3617,3564,-400,0
982,31367,-448,-4982,6356,-876,0
983,31396,-1320,-5712,7480,-1664,0
984,31426,-2456,-4690,4976,-3491,0
985,31455,-2608,-1718,-8556,-3810,0
986,31484,-2136,828,-13488,-560,0
987,31514,1212,2199,-13216,-1814,0
988,31544,2900,2757,-9876,80,0
989,31572,1248,2912,-7292,-443,0
990,31602,-1512,2188,-7712,-2918,0
991,31632,1460,1307,-7724,1183,0
992,31666,1772,864,-10020,-2043,0
993,31694,544,885,-6452,-843,0
994,31724,-352,1275,-2660,-838,0
995,31753,-1508,2033,-60,1008,0
996,31782,564,2711,-1000,2176,0
997,31811,3380,3056,-772,2389,0
998,31841,6132,1808,2528,2580,0
999,31870,7268,782,-88,996,0
1000,31907,7044,2548,6168,468,0
1001,31937,7352,2378,10852,1331,0
1002,31966,7256,2272,4564,1404,0
1003,31995,6452,3272,2800,2521,0
1004,32025,4412,2153,15520,6428,0
1005,32054,-1688,-1241,7912,2667,0
1006,32083,1828,-775,-3520,3045,0
1007,32118,624,3558,-1660,3508,0
1008,32148,-5708,-1849,1996,1458,0
1009,32178,-260,2980,3860,2914,0
1010,32207,3840,-791,-3568,2244,0
1011,32236,-836,-1163,-1384,815,0
1012,32266,-3340,-488,3172,1012,0
1013,32295,-3244,438,184,1653,0
1014,32325,-1160,526,-1724,627,0
1015,32354,-668,176,1668,-63,0
1016,32384,-340,-229,1820,23,0
1017,32412,-328,-484,2148,132,0
1018,32442,-892,-806,3804,377,0
1019,32472,-1200,-795,2812,1104,0
1020,32500,-1044,-859,-8,1130,0
1021,32530,-1068,-990,-376,1023,0
1022,32564,-556,-1109,-1408,1248,0
1023,32593,-336,-818,788,1042,0
1024,32622,-1132,-759,2000,1197,0
1025,32652,-148,-728,1576,1352,0
1026,32680,1228,-827,3072,1320,0
1027,32710,956,-1303,3416,1800,0
1028,32740,540,-2026,4400,1737,0
1029,32769,1712,-2202,4984,2527,0
1030,32798,1476,-3858,6904,2367,0
1031,32828,-584,-5843,8340,719,0
1032,32857,-3152,-6669,5456,-1590,0
1033,32886,-4188,-5031,-5252,-3682,0
1034,32916,-1224,-1784,-13236,-3192,0
1035,32946,3436,511,-10316,68,0
1036,32975,5464,2414,-8416,-1269,0
1037,33010,3552,2400,-8448,-3905,0
1038,33039,4424,2059,-11648,-5406,0
1039,33069,1284,2486,-6012,-5245,0
1040,33098,1208,3194,-2740,768,0
1041,33127,944,4098,-8464,-3157,0
1042,33157,-524,6316,-9412,-7262,0
1043,33185,-524,5611,-2064,-4283,0
1044,33215,2452,4393,-1720,-2897,0
1045,33245,5532,2612,-1308,-803,0
1046,33274,5156,1634,-1704,926,0
1047,33303,3636,615,3644,2457,0
1048,33333,3632,418,6244,1541,0
1049,33361,6240,1124,9688,2082,0
1050,33391,9124,26,3496,2233,0
1051,33420,9192,3105,-296,3851,0
1052,33470,-3312,-1414,10356,1079,0
1053,33503,924,-746,1972,2170,0
1054,33534,3220,1694,-764,4513,0
1055,33567,-3312,-1259,2168,3761,0
1056,33599,340,3227,2464,3350,0
1057,33632,5584,-365,1884,2773,0
1058,33664,-1152,-1209,-84,2061,0
1059,33696,-4040,-220,244,3290,0
1060,33729,-1832,419,-716,1394,0
1061,33761,108,241,856,1190,0
1062,33794,-280,20,824,605,0
1063,33825,32,-331,2424,749,0
1064,33857,708,-832,1896,1089,0
1065,33890,-288,-916,2656,1335,0
1066,33922,-1016,-558,1520,1269,0
1067,33959,-1572,51,1360,759,0
1068,33991,-2080,186,1284,970,0
1069,34023,-2120,-46,2420,781,0
1070,34054,-772,-951,3168,570,0
1071,34085,8,-1367,2756,414,0
1072,34117,-1188,-1193,2916,595,0
1073,34148,-1048,-1641,4352,497,0
1074,34180,2560,-2184,6132,439,0
1075,34211,2696,-3409,7048,587,0
1076,34242,776,-5280,9148,-251,0
1077,34274,-2256,-5525,6872,-3669,0
1078,34306,-4364,-4571,-1644,-4845,0
1079,34337,-4156,-1339,-15884,-1492,0
1080,34369,-276,1067,-14624,-2360,0
1081,34400,3400,4079,-8792,-1503,0
1082,34437,2796,4738,-10692,-1536,0
1083,34468,3684,2986,-12784,-6807,0
1084,34499,1392,774,-10164,-2001,0
1085,34531,4,1646,-8636,-4136,0
1086,34563,968,1483,-2152,-1592,0
1087,34593,-652,1053,36,381,0
1088,34625,-1016,2273,-1888,1684,0
1089,34657,3152,2306,-1268,1649,0
1090,34688,6132,906,1208,1207,0
1091,34719,5764,262,-356,186,0
1092,34751,4192,506,1644,-1046,0
1093,34782,4992,733,4832,-609,0
1094,34813,6372,883,7268,62,0
1095,34845,6900,1605,7628,46,0
1096,34876,5036,1899,1952,1686,0
1097,34913,3744,2595,14232,8728,0
1098,34945,-1780,-1245,8004,1490,0
1099,34976,5940,1065,1812,4476,0
1100,35008,-80,744,-180,4137,0
1101,35039,-960,796,3544,1801,0
1102,35070,2824,338,3776,3934,0
1103,35101,1832,413,1916,2589,0
1104,35133,-1504,-348,2948,2403,0
1105,35165,-2576,265,1636,2285,0
1106,35195,-1452,381,2096,1358,0
1107,35227,-1028,391,1124,950,0
1108,35259,-1816,348,1448,565,0
1109,35290,-812,283,1604,340,0
1110,35321,-984,-265,2620,304,0
1111,35352,-900,-583,2456,182,0
1112,35388,-528,-647,2556,188,0
1113,35420,-2020,-637,1512,-37,0
1114,35451,-3564,-724,484,-203,1
1115,35482,-2408,-723,1028,-588,1
1116,35514,-1948,-1080,1596,-1033,1
1117,35546,-1056,-273,148,-1116,1
1118,35576,-40,-396,-1148,-1128,1
1119,35608,-1720,-685,-1172,-1063,1
1120,35640,-3216,-563,240,-1347,1
1121,35672,-2268,-570,548,-970,1
1122,35703,-2264,-847,528,-1055,1
1123,35742,-2512,-1210,1416,-1086,1
1124,35774,-1836,-929,1180,-975,1
1125,35806,-1064,-696,316,-889,1
1126,35843,-976,-640,700,-847,1
1127,35873,-716,-673,928,-652,1
1128,35905,-460,-588,1164,-529,1
1129,35937,-1048,-392,1164,-331,1
1130,35969,-1816,-284,952,-386,1
1131,35999,-1456,-125,1024,-263,1
1132,36031,-1116,-4,1088,-247,1
1133,36063,-1076,-114,1048,-270,1
1134,36094,-1192,75,1160,-142,1
1135,36125,-1204,37,816,-48,1
1136,36157,-1616,7,976,-25,1
1137,36189,-1672,-101,780,5,1
1138,36219,-1712,1,704,-35,1
1139,36251,-1320,-45,780,-111,1
1140,36283,-1176,-35,684,-82,1
1141,36314,-1096,-93,948,-37,1
1142,36349,-1428,-89,836,35,1
1143,36381,-1468,-1,884,-33,1
1144,36412,-1340,-75,844,-36,1
1145,36444,-1012,-22,896,-16,1
1146,36474,-1352,-104,960,23,1
1147,36506,-1444,-52,760,18,1
1148,36538,-1292,-102,820,30,1
1149,36569,-1484,15,580,-14,1
1150,36600,-1456,-3,736,-29,1
1151,36631,-1268,-75,904,-43,1
1152,36663,-1376,-11,620,6,1
1153,36695,-1496,-30,724,17,1
1154,36725,-1604,18,772,6,1
1155,36757,-1584,-2,688,-10,1
1156,36788,-1332,-72,764,-33,1
1157,36819,-1176,-52,932,-34,1
1158,36856,-1172,-39,920,-16,1
1159,36887,-1256,-98,888,-39,1
1160,36919,-1216,6,792,-7,1
1161,36950,-1220,-53,616,-18,1
1162,36981,-1048,22,1052,-3,1
1163,37013,-1228,32,808,9,1
1164,37044,-1204,-14,928,30,1
1165,37075,-1244,59,932,42,1
1166,37106,-1276,-13,900,17,1
1167,37138,-1144,20,932,59,1
1168,37169,-1152,38,784,30,1
1169,37200,-1180,-12,832,60,1
1170,37231,-1136,-8,740,48,1
1171,37263,-1340,48,728,50,1
1172,37294,-1180,-27,988,60,1
1173,37325,-1008,38,836,62,1
1174,37357,-1220,46,896,83,1
1175,37392,-1280,35,752,76,1
